Car Added,WooCommerce Autos DB ID,Base Car ID,Exp. Car ID,Year Min,Year Max,Parent Manufacturer,Make|Include,Model|Include,VehicleTypeName,Region|Include,Sub Model|Include,Wheelbase|Include,Transmission Type|Include,Transmission Num Speeds|Include,Transmission Control Type|Include,Transmission Mfr Code|Include,Transmission Elec Controlled|Include,Transmission Mfr|Include,Steering Type|Include,Steering System ID|Include,Front Spring Type|Include,Rear Spring Type|Include,Mfr Body Code|Include,Drive Type|Include,Liter|Include,CC|Include,CID|Include,Cylinders|Include,BInlineock Type|IncInlineude,Engine Bore In|Include,Engine Bore Metric|Include,Engine Stroke In|Include,Engine Stroke Metric|Include,Engine Designation|Include,Engine VIN|Include,Valves|Include,Fuel Delivery Type|Include,Fuel Delivery SubType|Include,Fuel System Control Type|Include,Fuel System Design|Include,Aspiration|Include,Cylinder Head Type|Include,Fuel Type|Include,Ignition System|Include,Engine Mfr|Include,Engine Version|Include,Power Output|Include,Body Num Doors|Include,Types|Include,Bed Lengths|Include,Bed Types|Include,Front|Include,Rear|Include,ABS|Include,Brake System|Include,Asset Name,Asset Item Ref,Reference,Engine Tag,Engine Human Readable
Added,3542,1928_Dodge_Senior,,1928,1928,,Dodge,Senior,Car,USA,Base,,,,,,,,,,,,,,,,208,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208_Inline_6,208 CID Inline 6 
Added,3542,1928_Dodge_Standard,,1928,1928,,Dodge,Standard,Car,USA,Base,,,,,,,,,,,,,,,,208,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208_Inline_6,208 CID Inline 6 
Remove,3536,1928_Chrysler_Series 80 L Imperial,1928_Chrysler_Series 80 L Imperial,1928,1928,,Chrysler,Series 80 Imperial,Car,USA,Base,,,,,,,,,,,,,,,,309,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309_Inline_6,309 CID Inline 6 
,,1979_Plymouth_Trailduster,1979_Plymouth_Trailduster_5.9L_2 Dr. Sport Utility_8,1979,1979,,Plymouth,Trailduster,Truck,CAN,Base,,,,,,,,,,,,2 Dr. Sport Utility,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_Trailduster,1979_Plymouth_Trailduster_5.2L_2 Dr. Sport Utility_8,1979,1979,,Plymouth,Trailduster,Truck,CAN,Base,,,,,,,,,,,,2 Dr. Sport Utility,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1979_Plymouth_Trailduster,1979_Plymouth_Trailduster_3.7L_2 Dr. Sport Utility_6,1979,1979,,Plymouth,Trailduster,Truck,CAN,Base,,,,,,,,,,,,2 Dr. Sport Utility,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,3536,1928_Chrysler_Series 72,1928_Chrysler_Series 72,1928,1928,,Chrysler,Series 72,Car,USA,Base,,,,,,,,,,,,,,,,249,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249_Inline_6,249 CID Inline 6 
,3536,1928_Chrysler_Series 62,1928_Chrysler_Series 62,1928,1928,,Chrysler,Series 62,Car,USA,Base,,,,,,,,,,,,,,,,180,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180_Inline_6,180 CID Inline 6 
,,1979_Plymouth_Sapporo,1979_Plymouth_Sapporo_1.6L_2 Dr. Coupe_4,1979,1979,,Plymouth,Sapporo,Car,CAN,Base,,,,,,,,,,,,2 Dr. Coupe,,1.6,1597,98,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98_Inline_4,98 CID Inline 4 
,,1979_Plymouth_Sapporo,1979_Plymouth_Sapporo_2.6L_2 Dr. Coupe_4,1979,1979,,Plymouth,Sapporo,Car,CAN,Base,,,,,,,,,,,,2 Dr. Coupe,,2.6,2555,156,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156_Inline_4,156 CID Inline 4 
,3536,1928_Chrysler_Series 52,1928_Chrysler_Series 52,1928,1928,,Chrysler,Series 52,Car,USA,Base,,,,,,,,,,,,,,,,170,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_4,170 CID Inline 4 
added,3540,,,1928,1928,,DeSoto,Model K,Car,USA,Base,,,,,,,,,,,,,,,,175,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175_Inline_6,175 CID Inline 6 
added,3540,,,1928,1928,,DeSoto,Model K,Car,USA,Deluxe,,,,,,,,,,,,,,,,175,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175_Inline_6,175 CID Inline 6 
Added,3544,,,1928,1928,,Dodge,Truck,Truck,USA,Base,,,,,,,,,,,,,,3.3,3299,201,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201_Inline_6,201 CID Inline 6 
,3558,1929_Plymouth_Model U,1929_Plymouth_Model U,1929,1929,,Plymouth,Model U,Car,USA,Base,,,,,,,,,,,,,,,,175,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175_Inline_4,175 CID Inline 4 
,3552,1929_DeSoto_Model K,1929_DeSoto_Model K,1929,1929,,DeSoto,Model K,Car,USA,Base,,,,,,,,,,,,,,,,175,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175_Inline_6,175 CID Inline 6 
,,1979_Plymouth_PB300,1979_Plymouth_PB300_5.9L_3 Dr. Standard Passenger Van_8,1979,1979,,Plymouth,PB300,Van,CAN,Voyager,,,,,,,,,,,,3 Dr. Standard Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_PB300,1979_Plymouth_PB300_5.9L_3 Dr. Extended Passenger Van_8,1979,1979,,Plymouth,PB300,Van,CAN,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_PB300,1979_Plymouth_PB300_5.2L_3 Dr. Standard Passenger Van_8,1979,1979,,Plymouth,PB300,Van,CAN,Voyager,,,,,,,,,,,,3 Dr. Standard Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1979_Plymouth_PB300,1979_Plymouth_PB300_5.2L_3 Dr. Extended Passenger Van_8,1979,1979,,Plymouth,PB300,Van,CAN,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
