Inventory ID,Description, Level-3 
PLY-TMR-150,70/73 Plymouth Valiant 4 Door Sedan Trunk Mat Rubber, $ 54.60 
PLY-TMT-048,38/39 Plymouth Sedan P-8 Trunk Mat Brown Tweed, $ 96.20 
PLY-TMT-050,40 Plymouth Convertible Coupe Trunk Mat Brown Tweed, $ 105.30 
PLY-TMT-055,40/41 Plymouth Sedan Trunk Mat Brown Tweed, $ 96.30 
PLY-TMT-060,46/48 Plymouth 2&4 Door Sedan Trunk Mat Brown Tweed 2pc, $ 96.50 
PLY-TMT-065,49/50 Plymouth Trunk Mat Brown Tweed, $ 96.10 
PLY-TMT-066,49/50 Plymouth Convertible Trunk Mat Brown Tweed, $ 96.10 
PLY-TMV-085,60/62 Plymouth Valiant Trunk Mat Vinyl, $ 28.00 
PLY-TMV-090,62 Belvedere Trunk Mat Vinyl, $ 39.00 
PLY-TMV-095,63/66 Valiant 2 Door Hardtop Trunk Mat Vinyl, $ 28.80 
PLY-TMV-098,63/66 Valiant Convertible Trunk Mat Vinyl, $ 28.80 
PLY-TMV-100,63 Belvedere 2 Door Hardtop Trunk Mat Vinyl, $ 39.50 
PLY-TMV-105,64/65 Belvedere & Satellite Trunk Mat Vinyl, $ 39.60 
PLY-TMV-110,64/65 Belvedere & Satellite Convertible Trunk Mat Vinyl, $ 39.60 
PLY-TMV-150,70/73 Plymouth Valiant 4 Door Sedan Trunk Mat Vinyl, $ 29.20 
PLY-UDI-201,63/66 Plymouth Valiant Under Dash Insulation 2pc, $ 14.50 
PLY-UDI-400,76/80 Plymouth Volare Under Dash Insulation 2pc, $ 16.50 
PLY-WTP-400,66/70 Satellite & Belvedere 4 Door Water Shields Paper 4pc, $ 18.80 
PLY-WTP-401,66/70 Satellite & Belvedere 4 Door Water Shields Paper 4pc (With Butyl Adhesive), $ 27.20 
PLY-WTR-400,66/70 Satellite & Belvedere 4 Door Water Shields 4pc, $ 22.80 
PLY-WTR-401,66/70 Satellite & Belvedere 4 Door Water Shields 4pc (With Butyl Adhesive), $ 31.00 
