Inventory ID,Description, Level-3 
PLY-HIN-060,"63 Valiant Hood Insulation 1"" Black", $ 37.30 
PLY-HIN-065,"64/65 Valiant Hood Insulation 1"" Black", $ 34.60 
PLY-HIN-070,"65 Satellite & Belvedere Hood Insulation ½""", $ 24.20 
PLY-HIN-075,"66 Valiant Hood Insulation 1""", $ 33.50 
PLY-HIN-080,"67/76 Valiant Hood Insulation ½""", $ 27.00 
PLY-HIN-110,"76/78 Volare Hood Insulation ½""", $ 27.50 
PLY-HIN-120,"78/90 Plymouth Horizon Hood Insulation ½""", $ 24.30 
PLY-HIN-125,"79/87 Turismo & TC-3 Hood Insulation ½""", $ 25.60 
PLY-HIN-128,"79/80 Plymouth Volare Hood Insulation ½""", $ 27.00 
PLY-HIN-135,"81/89 Plymouth Reliant K Hood Insulation ½""", $ 25.90 
PLY-HLI-210,62 Belvedere Headliner Insulation 4pc, $ 19.30 
PLY-HLI-215,63/65 Satellite & Belvedere Headliner Insulation 4pc, $ 20.20 
PLY-HLI-225,66/67 Belvedere & Satellite Headliner Insulation 3pc, $ 18.20 
PLY-HLI-240,68/70 Belvedere & Satellite Headliner Insulation 3pc, $ 17.80 
PLY-HLI-250,69/72 Plymouth C-Body Headliner Insulation 4pc, $ 25.70 
PLY-HLR-163,55/56 Plymouth 2 Door Sedan Headliner Basketweave, $ 117.70 
PLY-HLR-170,57/58 Plymouth 2 Door Sedan Headliner Basketweave, $ 117.70 
PLY-HLR-215,62 Plymouth Station Wagon Headliner Perforated Wood (Off White) 7pc, $ 237.50 
PLY-HLR-220,62 Plymouth 2 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-225,63 Belvedere Hardtop & 2 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-230,63 Belvedere Hardtop & 2 Door Sedan 5 Bow Headliner Non-Perforated, $ 79.50 
PLY-HLR-232,63 Plymouth Station Wagon Headliner Perforated Wood (Off White) 7pc, $ 237.50 
PLY-HLR-240,63/65 Valiant 2&4 Door Sedan & 2 Door Hardtop 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-245,63/65 Valiant 2&4 Door Sedan & 2 Door Hardtop 5 Bow Headliner Non-Perforated, $ 79.50 
PLY-HLR-250,64/65 Belvedere & Satellite 2 Door Hardtop 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-255,64/65 Belvedere & Satellite 2 Door Hardtop 5 Bow Headliner Non-Perforated, $ 79.50 
PLY-HLR-260,64/65 Belvedere 2 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-262,"64/65 Satellite, Belvedere Station Wagon Headliner Perforated Wood 7pc No Cargo Light Off White", $ 250.40 
PLY-HLR-263,"64/65 Satellite, Belvedere Station Wagon Headliner Perforated Wood 7pc w/Rear Cargo Light. Off White", $ 250.40 
PLY-HLR-270,65 Valiant Station Wagon 8 Bow Headliner Perforated, $ 96.20 
PLY-HLR-280,66/67 Belvedere & Satellite 2&4 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-285,66/67 Belvedere & Satellite 2&4 Door Sedan 4 Bow Headliner Perforated, $ 79.50 
PLY-HLR-286,66/67 Belvedere & Satelite Station Wagon Headliner Perf Wood (Off White) 8pc, $ 245.00 
PLY-HLR-290,66 Plymouth VIP 4 Door Hardtop 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-293,67/69 Valiant 2 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-295,67/68 Valiant 4 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-300,67 Plymouth VIP 2 Door Hardtop 5 Bow Headliner Perforated, $ 79.50 
PLY-HLR-320,68/70 Satellite 4 Door Sedan 6 Bow Headliner Perforated, $ 79.50 
PLY-HLR-325,68/70 Belvedere & Satelite Station Wagon Headliner Perf Wood (Off White) 6pc, $ 237.50 
PLY-HLR-330,70 Superbird 6 Bow Headliner Perforated, $ 79.50 
PLY-HLR-335,70 Superbird 6 Bow Headliner Non-Perforated, $ 79.50 
PLY-HLR-340,70 Plymouth Valiant 4 Door Sedan 5 Bow Headliner Perforated, $ 79.50 
